      price  quantity  type
1  38640000    0.0092     1
2  38642000    0.0994     1
3  38644000    0.0535     1
4  38645000    0.0886     1


      price  quantity  type
0  38624000    0.0024     0
1  38622000    0.0837     0
2  38618000    0.0410     0
3  38609000    1.2360     0
4  38607000    0.0155     0
0  38637000    0.0086     1
1  38639000    0.5166     1
2  38640000    0.0092     1
3  38642000    0.0994     1
4  38644000    0.0535     1


      price  quantity  type
0  38609000    1.2360     0
1  38602000    0.5166     0
2  38596000    1.2360     0
3  38590000    0.0558     0
4  38588000    0.0401     0
0  38637000    0.0086     1
1  38639000    0.0838     1
2  38640000    0.0092     1
3  38642000    0.0994     1
4  38644000    0.0535     1


      price  quantity  type
0  38618000    0.0270     0
1  38614000    0.0402     0
2  38613000    0.0557     0
3  38611000    0.0379     0
4  38609000    1.2360     0
0  38636000    0.0884     1
1  38637000    0.0086     1
2  38638000    0.0058     1
3  38639000    0.0838     1
4  38640000    0.0092     1


      price  quantity  type
0  38620000    0.0557     0
1  38618000    0.0270     0
2  38617000    0.0397     0
3  38609000    1.2360     0
4  38596000    1.2360     0
0  38637000    0.0086     1
1  38638000    0.0058     1
2  38639000    0.0838     1
3  38640000    0.0092     1
4  38642000    0.0994     1


      price  quantity  type
0  38620000    0.0557     0
1  38618000    0.0270     0
2  38617000    0.0397     0
3  38609000    1.2360     0
4  38596000    1.2360     0
0  38636000    0.5045     1
1  38637000    0.0086     1
2  38638000    0.0058     1
3  38639000    0.0838     1
4  38640000    0.0092     1


      price  quantity  type
0  38620000    0.0557     0
1  38618000    0.0270     0
2  38617000    0.0397     0
3  38609000    1.2360     0
4  38596000    1.2360     0
0  38636000    0.4943     1
1  38638000    0.0058     1
2  38639000    0.0838     1
3  38642000    0.0994     1
4  38644000    0.0622     1


      price  quantity  type
0  38612000    0.0592     0
1  38610000    0.0270     0
2  38609000    1.2360     0
3  38605000    0.0388     0
4  38601000    0.5166     0
0  38629000    0.0856     1
1  38631000    0.0078     1
2  38632000    0.0899     1
3  38633000    0.0840     1
4  38634000    0.0239     1


      price  quantity  type
0  38612000    0.0592     0
1  38610000    0.0270     0
2  38609000    1.2360     0
3  38605000    0.0388     0
4  38601000    0.5166     0
0  38629000    0.0849     1
1  38631000    0.0078     1
2  38632000    0.0899     1
3  38633000    0.0840     1
4  38634000    0.0239     1


      price  quantity  type
0  38612000    0.0592     0
1  38610000    0.0862     0
2  38609000    1.2360     0
3  38605000    0.0388     0
4  38601000    0.5166     0
0  38626000    0.0892     1
1  38628000    0.5223     1
2  38629000    0.0849     1
3  38631000    0.0078     1
4  38632000    0.0899     1


      price  quantity  type
0  38602000    0.0270     0
1  38601000    1.7526     0
2  38600000    0.0388     0
3  38590000    0.0558     0
4  38585000    0.0052     0
0  38612000    0.0226     1
1  38622000    0.0843     1
2  38623000    0.0086     1
3  38624000    0.0092     1
4  38625000    0.0689     1


      price  quantity  type
0  38602000    0.0270     0
1  38601000    1.7526     0
2  38600000    0.0388     0
3  38590000    0.0558     0
4  38585000    0.0052     0
0  38612000    0.0226     1
1  38622000    0.0843     1
2  38623000    0.0086     1
3  38624000    0.0092     1
4  38625000    0.0689     1


      price  quantity  type
0  38612000    0.0006     0
1  38603000    0.0563     0
2  38602000    0.0270     0
3  38601000    1.7526     0
4  38599000    0.0404     0
0  38622000    0.0843     1
1  38623000    0.0086     1
2  38624000    0.0092     1
3  38625000    0.0689     1
4  38626000    0.0892     1


      price  quantity  type
0  38612000    0.0006     0
1  38603000    0.0563     0
2  38601000    0.5260     0
3  38599000    0.0404     0
4  38594000    0.0270     0
0  38622000    0.0843     1
1  38623000    0.0086     1
2  38624000    0.5259     1
3  38625000    0.0689     1
4  38626000    0.0892     1


      price  quantity  type
0  38612000    0.0006     0
1  38603000    0.0563     0
2  38601000    0.5260     0
3  38599000    0.0404     0
4  38594000    0.0270     0
0  38622000    0.0843     1
1  38625000    0.0689     1
2  38626000    0.0892     1
3  38628000    0.0566     1
4  38629000    0.1412     1


      price  quantity  type
0  38612000    0.0006     0
1  38603000    0.0563     0
2  38601000    0.5260     0
3  38599000    0.0404     0
4  38594000    0.0270     0
0  38622000    0.0819     1
1  38625000    0.0689     1
2  38626000    0.0892     1
3  38628000    0.0566     1
4  38629000    0.1412     1


      price  quantity  type
0  38612000    0.0006     0
1  38605000    0.0408     0
2  38603000    0.0563     0
3  38601000    0.5260     0
4  38594000    0.0270     0
0  38624000    0.5166     1
1  38625000    0.0154     1
2  38626000    0.0892     1
3  38628000    0.0566     1
4  38629000    0.1412     1


      price  quantity  type
0  38612000    0.0006     0
1  38605000    1.2768     0
2  38603000    0.0563     0
3  38601000    0.5260     0
4  38594000    0.0270     0
0  38624000    0.5166     1
1  38625000    0.0154     1
2  38626000    0.0892     1
3  38628000    0.0566     1
4  38629000    0.1412     1


      price  quantity  type
0  38612000    0.0006     0
1  38611000    0.0082     0
2  38609000    0.0408     0
3  38605000    1.2360     0
4  38603000    0.0563     0
0  38620000    0.0024     1
1  38624000    0.5166     1
2  38625000    0.0154     1
3  38626000    0.0892     1
4  38628000    0.0566     1


      price  quantity  type
0  38612000    0.0006     0
1  38611000    0.0082     0
2  38609000    0.0408     0
3  38605000    1.2360     0
4  38603000    0.0833     0
0  38619000    0.5166     1
1  38625000    0.0154     1
2  38626000    0.0892     1
3  38628000    0.0566     1
4  38629000    0.1412     1


      price  quantity  type
0  38605000    1.2360     0
1  38603000    0.0833     0
2  38601000    0.5260     0
3  38595000    0.0386     0
4  38585000    0.0052     0
0  38611000    0.0068     1
1  38619000    0.6106     1
2  38622000    0.0937     1
3  38625000    0.0154     1
4  38626000    0.0892     1


      price  quantity  type
0  38605000    1.2030     0
1  38603000    0.0833     0
2  38601000    0.5260     0
