      price  quantity  type
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.131443     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.084200     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.131443     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.084200     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.131443     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.084200     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.131443     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.084200     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38515000  0.008100     0
1  38514000  0.084200     0
2  38512000  0.063000     0
3  38511000  0.086600     0
4  38510000  0.116200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38515000  0.008100     0
1  38514000  0.084200     0
2  38512000  0.063000     0
3  38511000  0.086600     0
4  38510000  0.116200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38515000  0.008100     0
1  38514000  0.093800     0
2  38512000  0.063000     0
3  38511000  0.086600     0
4  38510000  0.116200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38515000  0.008100     0
1  38514000  0.093800     0
2  38512000  0.063000     0
3  38511000  0.086600     0
4  38510000  0.116200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38515000  0.008100     0
1  38514000  0.093800     0
2  38512000  0.063000     0
3  38511000  0.086600     0
4  38510000  0.116200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.080443     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.6078     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.129643     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38514000  0.093800     0
1  38512000  0.063000     0
2  38511000  0.086600     0
3  38510000  0.116200     0
4  38507000  0.093200     0
0  38526000  0.080443     1
1  38527000  0.089000     1
2  38529000  0.060400     1
3  38530000  1.236000     1
4  38531000  0.101300     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.6078     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.6078     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.6078     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.1013     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38516000    0.0491     0
1  38515000    0.0080     0
2  38514000    0.0938     0
3  38513000    0.0638     0
4  38512000    0.0630     0
0  38529000    0.0604     1
1  38530000    1.3203     1
2  38531000    0.0617     1
3  38533000    0.0666     1
4  38534000    0.0896     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.0618     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38516000    0.0491     0
2  38515000    0.0080     0
3  38514000    0.0938     0
4  38512000    0.0630     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3203     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.3197     1
1  38531000    0.0617     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.2354     1
1  38531000    0.0051     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.2354     1
1  38531000    0.0051     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.2354     1
1  38531000    0.0051     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.2354     1
1  38531000    0.0051     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.2354     1
1  38531000    0.0051     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38522000    0.0096     0
1  38517000    0.1472     0
2  38516000    0.0491     0
3  38515000    0.0080     0
4  38514000    0.0938     0
0  38530000    1.2354     1
1  38531000    0.0051     1
2  38533000    0.1283     1
3  38534000    0.0896     1
4  38535000    0.0383     1


      price  quantity  type
0  38517000    0.0618     0
1  38514000    0.0096     0
2  38512000    0.0630     0
3  38510000    0.0528     0
4  38507000    0.0543     0
0  38521000    0.0570     1
1  38522000    0.0095     1
2  38528000    0.1930     1
3  38529000    0.0649     1
4  38530000    1.3239     1


      price  quantity  type
0  38514000    0.0096     0
1  38504000    0.0853     0
2  38502000    0.0564     0
3  38501000    0.0047     0
4  38500000    0.0042     0
0  38515000    0.0707     1
1  38516000    0.1008     1
2  38518000    0.0632     1
3  38519000    0.0957     1
4  38520000    0.0400     1


      price  quantity  type
0  38504000    0.0853     0
1  38502000    0.0564     0
2  38501000    0.0047     0
3  38500000    0.0042     0
4  38499000    0.0286     0
0  38512000    0.0610     1
1  38513000    0.0094     1
2  38515000    0.0707     1
3  38516000    0.1900     1
4  38517000    0.0389     1


      price  quantity  type
0  38504000    0.0853     0
1  38502000    0.0564     0
2  38501000    0.0047     0
3  38500000    0.0042     0
4  38499000    0.0286     0
0  38512000    0.0610     1
1  38513000    0.0094     1
2  38515000    0.0707     1
3  38516000    0.1900     1
4  38517000    0.0389     1


      price  quantity  type
0  38504000    0.0853     0
1  38502000    0.0564     0
2  38501000    0.0047     0
